unit_id,sort,name,time,place,details
C10,2,李季,1913年,湖南,转入湖南高等师范学校英文科就读。
C10,3,李季,1915年,北京,高师尚未毕业，考入北京大学文本科英文门。
C10,4,李季,1916年,北京,用文言文翻译了正在北大任教的辜鸿铭的英文社论，受高度赞赏，走上译著道路。
C10,5,李季,1918年,北京,北大毕业，留校担任补习班英语教员。
C10,6,李季,1919年,北京,以北大教师身份参与五四运动。
C10,7,李季,1920年8月,上海,与陈独秀等人参与成立中国第一个共产主义小组——上海共产主义小组。
C10,8,李季,1920年10月,北京,所翻译柯卡普《社会主义史》由新青年杂志社出版，北大校长蔡元培、教授胡适以及留校任教的张申府为书作序。
C10,9,李季,1920年,广东,随陈独秀南下广东。
C10,10,李季,1922年,德国,留学法兰克福大学经济学系。
C10,11,李季,1924年,苏联,转入苏联莫斯科东方大学。
C10,12,李季,1925年,上海,任上海大学经济学教授、社会学系系主任。
C10,13,李季,1927年,武汉,任武汉中央军事政治学校任社会学教授。
C10,14,李季,1927年7月,平江,武汉宁汉合流白色恐怖，返回平江老家从事翻译相关工作。
C10,15,李季,1929年,上海,加入“托派”（陈独秀、彭述之等在上海成立无产者社，并出版《无产者》月刊，主要登载托洛茨基的文章，称“托派”）。
C10,16,李季,1929年12月,上海,参加陈独秀组织的81人签名并发表的《我们的意见书》。
C10,17,李季,1934年,上海,宣布退出托派组织，不再参与政治活动，一心从事翻译和教学工作。
