unit_id,sort,姓名,时间,地点,描述
C11,1,李梅羹,1917年,湖南长沙,与同学创立了辅仁社。
C11,2,李梅羹,1918年,北京,考入北京医学专门学校。
C11,3,李梅羹,1918年,北京,辅仁社活动中心转移至北京大学。
C11,4,李梅羹,1919年,北京,五四运动前夕，参加了由罗章龙、易克嶷、匡互生、宋天放、王复生、罗汉、张树荣、王有德、高君宇等组成的秘密行动小组，带队参与了“火烧赵家楼，痛打章宗祥”。
C11,5,李梅羹,1920年,北京,入国立北京大学文预科。
C11,6,李梅羹,1920年,北京,参与李大钊邀集的外文书籍编目提要工作，开始接触和翻译马克思主义著作。
C11,7,李梅羹,1920年,北京,与罗章龙、邓中夏、张国焘、吴汝铭、杨人杞等30余人组织了曦园，议定半工半读，自食其力，互助互济，共为诤友。
C11,8,李梅羹,1920年,北京,1920年3月，在李大钊帮助下，李梅羹、罗章龙、邓中夏、高君宇、何孟雄、吴汝铭、宋天放、刘仁静等人在北京大学图书馆成立了我国第一个“马克思学说研究会”集中精力研究和翻译了一系列马列著作，包括《共产党宣言》《资本论（第一卷）》《马克思传》等。
C11,9,李梅羹,1920年,北京,与共产国际代表维经斯基在京进行多次座谈。
C11,10,李梅羹,1920年,北京,参与成立马克思学说研究会。
C11,11,李梅羹,1920年,北京,参与成立北京共产党小组，成为中国最早的共产党员。
C11,12,李梅羹,1920年,北京,加入北京社会主义青年团。
C11,13,李梅羹,1921年,北京,在长辛店劳动补习学校担任教员。
C11,14,李梅羹,1921年,北京,先后担任北京区委财务委员、区委秘书，，还参加了中国劳动组合书记部北方分部的组建和领导工作。
C11,15,李梅羹,1921年,北京,参与主办《工人周刊》，任西文秘书兼编委。
C11,16,李梅羹,1921年,北京,参与组织陇海铁路工人罢工、开滦煤矿罢工、二七大罢工等工人运动二七大罢工期间，指导罢工工人的组织和宣传工作罢工失败后，中共北方区委收集二七大罢工失败后，资料、照片，编写《京汉工人流血记》，为主要执笔人。
C11,17,李梅羹,1922年,北京,与罗章龙共同为非宗教同盟起草了《非宗教同盟纲领》。
C11,18,李梅羹,1922年,北京,参与编辑《非宗教论》，编辑出版《中国教毒图（分省）》。
C11,19,李梅羹,1922年,北京,升入国立北京大学本科德文系。
C11,20,李梅羹,1925年,苏联莫斯科,被派往苏联莫斯科东方大学学习，同时继续从事翻译工作。
C11,21,李梅羹,1928年,苏联莫斯科,担任中共六大大会的问翻译组组长。
C11,22,李梅羹,1929年,上海,任上海任中央宣传部翻译室主任，主要负责《共产国际通讯》翻译工作。
C11,23,李梅羹,1931年,上海,因同情罗汉龙，受到王明“左”倾路线的排斥，被劝“回家养病”，后脱离党组织。
C11,24,李梅羹,1934年,广西南宁,贫病交加，无钱医治辞世。
