unit_id,sort,name,time,place,details
C12,1,刘仁静,1917年11月,武汉,参与了恽代英在中华大学组织成立的“互助社”。
C12,2,刘仁静,1918年,北京,进入国立北京大学理预科。
C12,3,刘仁静,1919年,北京,参与五四爱国运动，被警方逮捕，判刑一个月，刑满释放后回校并转入哲学系学习。
C12,4,刘仁静,1919年7月,北京,经王光祈介绍加入李大钊组织成立的少年中国学会，担任会计工作。
C12,5,刘仁静,1920年3月,北京,加入马克思学说研究会和北京社会主义青年团。
C12,6,刘仁静,1920年10月初,北京,经邓中夏、罗章龙的介绍，加入共产主义小组。
C12,7,刘仁静,1921年7月,上海,被北京共产主义小组推选为中共“一大”代表，出席了党的“一大”会议，为“一大”十三名代表中最年轻的一位。
C12,8,刘仁静,1921年7月,上海,中共一大结束后留在上海，协助李达筹办人民出版社，根据中共中央局宣传部的计划，欲在党成立一周年前出版马克思主义著作20种。
C12,9,刘仁静,1921年秋,天津、济南,受命到天津、济南等地选派代表去参加远东大会，会议后改在1922年1月21日于莫斯科召开。
C12,10,刘仁静,1921年12月,北京,参与以马克思主义研究会名义举办的李卜克内西和卢森堡牺牲三周年纪念大会，参与团刊《先驱》的创办。
C12,11,刘仁静,1922年9月,列宁格勒（今圣彼得堡）,与陈独秀、王俊一同出席共产国际四次会议，代表中共代表团发言。
C12,12,刘仁静,1923年8月,北京,与张太雷、恽代英一同参加并主持了大会，被推选为中央执行委员会委员长。
C12,13,刘仁静,1926年9月,苏联,受党中央派遣，赴苏联学习。
C12,14,刘仁静,1929年,苏联,在苏联学习期间，信奉托洛茨基主义，专程前往土耳其访问托洛茨基。
C12,15,刘仁静,1929年,北京,回国，被中共开除党籍。
C12,16,刘仁静,1930年月1日,北京,参与组建反对派组织“十月社”，后被开除。
