unit_id,sort,姓名,时间,地点,描述
C15,1,沈雁冰,1913年,北京,考入北京大学文预科。
C15,2,沈雁冰,1916年,上海,任职于上海商务印书馆编译所，开始从事文学工作。
C15,3,沈雁冰,1919年6月,上海,为声援北京爱国学生，参加商务印书馆大罢工。
C15,4,沈雁冰,1919年8月,上海,组织“桐乡青年社”，出版《新乡人》。
C15,5,沈雁冰,1920年2月,上海,在《东方杂志》上发表《俄国人民及苏维埃政府》译文。
C15,6,沈雁冰,1920年5月,上海,参加“马克思主义研究会”。
C15,7,沈雁冰,1920年11月,上海,在上海共产党早期组织秘密出版的《共产党》月刊上翻译了列宁《国家与革命》等马克思主义著作。
C15,8,沈雁冰,1921年初,上海,参加上海共产主义小组。
C15,9,沈雁冰,1921年7月,上海,加入中国共产党，被任命为中央联络员。
C15,10,沈雁冰,1922年7月,上海,先后担任中共上海地委执行委员、宣传委员、国民运动委员，还担任上海妇女运动的领导工作。
C15,11,沈雁冰,1922年10月,上海,在共产党人创办的上海大学担任过教学及管理工作。
C15,12,沈雁冰,1923年8月,上海,参加上海地方兼区执行委员会第六次会议，与毛泽东初识。
C15,13,沈雁冰,1923年9月,上海,任上海地方兼区执行委员会秘书兼会计。
C15,14,沈雁冰,1924年5月,上海,参加并领导了五卅反帝运动、商务印书馆工人大罢工等运动。
C15,15,沈雁冰,1926年1月,广州,出席国民党第二次全国代表大会；后任国民党中央宣传部秘书。
C15,16,沈雁冰,1926年3月,上海,“中山舰事件“后，返回上海。
C15,17,沈雁冰,1926年10月,武汉,任中央军事政治学校武汉分校教官。
C15,18,沈雁冰,1927年,武汉汉口,任《民国日报》主编。
C15,19,沈雁冰,1927年4月,武汉汉口,任《汉口民国日报》总主笔。
C15,20,沈雁冰,1928年7月,日本,已同中共失去组织上的关系，离开上海，去往日本。
C15,21,沈雁冰,1930年4月,上海,由日本回到上海；同年参加中国左翼作家联盟，任执行书记。
C15,22,沈雁冰,1934年9月,上海,协助鲁迅创办《译文》杂志。
C15,23,沈雁冰,1937年,上海,任职于《救亡日报》，主编《呐喊》。
C15,24,沈雁冰,1938年3月,湖北武汉,当选为中华全国文艺界抗敌协会理事。
C15,25,沈雁冰,1938年4月,广东广州,任主编的《文艺阵地》创刊，为《立报》编辑副刊《言林》。
C15,26,沈雁冰,1939年3月,新疆乌鲁木齐,任教于新疆学院。
C15,27,沈雁冰,1939年4月,新疆乌鲁木齐,任新疆文化协会会长。
C15,28,沈雁冰,1940年5月,陕西延安,先后在鲁迅艺术文学院、陕甘宁边区文化协会讲学。
C15,29,沈雁冰,1940年10月,重庆,任文化工作委员会常委。
C15,30,沈雁冰,1941年5月,香港,任《大众生活》编委。
C15,31,沈雁冰,1941年9月,香港,主编《笔谈》半月刊。
C15,32,沈雁冰,1941年12月,广西桂林,离开香港到达桂林，并创作完成长篇小说《霜叶红似二月花》《劫后拾遗》等。
C15,33,沈雁冰,1946年5月,上海,主编《文联》。
C15,34,沈雁冰,1948年7月,,参与《小说》编委工作。
C15,35,沈雁冰,1948年9月,上海,主编《文汇报•文艺周刊》。
C15,36,沈雁冰,1949年2月,北京,参加中国人民政治协商会议的筹备工作。
C15,37,沈雁冰,1949年7月,北京,出席第一次文代会，并当选中国文学艺术界联合会副主席、中华全国文学工作者协会主席。
C15,38,沈雁冰,1949年9月,北京,参加中国人民政治协商会议第一届全体会议，并当选全国委员会常务委员会委员。
C15,39,沈雁冰,1949年10月,北京,任中华人民共和国文化部部长。
