unit_id,sort,姓名,时间,地点,描述
C16,1,谭平山,1909年,广东,加入同盟会[1]；中华民国成立后，作为代议士参加广东省临时议会的个性活动。
C16,2,谭平山,1912年,雷州,于雷州中学任教期间，被推选为广东省临时参议会议士。
C16,3,谭平山,1913年1月,雷州,广东同盟会改组为国民党，以同盟会员的身份转入国民党，成为国民党早期党员之一。
C16,4,谭平山,1916年,阳江,调往阳江中学任教。
C16,5,谭平山,1917年,北京,考入北京大学本科哲学。
C16,6,谭平山,1918年秋,北京,共同发起成立《新潮》月刊。
C16,7,谭平山,1918年10月,北京,参与组织成立“北京大学新闻学研究会”，初识毛泽东。
C16,8,谭平山,1919年5月,北京,积极参加五四运动，成为“入狱三十二爱国学生之一”。
C16,9,谭平山,1920年3月,上海,与谭植棠、陈公博创办《政衡》杂志；在该刊发表《武力统一和口头护发》《中国政党问题及今后组织政党问题》等文章。
C16,10,谭平山,1920年夏,广东广州,毕业后返回广州宣传新文化，任教于国立广东高等师范学校。
C16,11,谭平山,1920年10月,广东广州,共同创办出版《广东群报》；响应上海党组织号召，负责发起“广州社会主义青年团”。
C16,12,谭平山,1920年12月,广东,任广东省教育委员会副委员长。
C16,13,谭平山,1921年初,广东广州,领导广州广仁罢工，支持香港海员工人大罢工；中共一大后，任中共广东支部书记、中国劳动组合书记部南方分部主任。
C16,14,谭平山,1921年3月,广东广州,与谭植棠等9人发起成立“广州共产主义小组”，后接任书记。
C16,15,谭平山,1921年,广东广州,组织成立“宣传员养成所”，参与任教。
C16,16,谭平山,1921年8月,广东广州,“广州共产主义小组”召开党员大会，同时宣告成立“中国共产党广东支部”，任书记。
C16,17,谭平山,1922年 ,北京,陈炯明叛变，孙中山被迫离粤赴沪，无法展开党工作，受党中央调遣返京继续进行革命活动。
C16,18,谭平山,1922年3月,广东广州,参与重新组织成立“广州社会主义青年团”，于大会上报告建团筹备工作、未来计划及致答词。
C16,19,谭平山,1922年5月,广东广州,作为广东团组织代表参加中国社会主义青年团召开的第一次全国代表大会；同月组织召开第一次全国劳动大会。
C16,20,谭平山,1922年7月,上海,作为广东党组织代表参加中国共产党第二次全国代表大会（中共二大），后返广东工作。
C16,21,谭平山,1923年,广东广州,出席中共三大，被推选为中央执行委员、中央局委员，后被任命为中央驻粤委员；为推动国民党改组工作，中共广东区委与社会主义青年团广东区委联合组成“国民运动委员会”，和阮啸仙共为主要成员。
C16,22,谭平山,1923年10月,上海,受中共中央派遣参加国民党改组特别会议，受孙中山任命为国民党临时中央执行委员会委员；在广州发起成立“国民意义”，参与了保卫广州革命政府。
C16,23,谭平山,1923年11月,上海,和廖仲恺筹建国民党上海执行部，讨论改组相关工作，指导选出参加国民党一大之代表。
C16,24,谭平山,1924年1月,广东广州,参与国民党一大，任国民党中央执行委员会委员、国民党中央组织部部长，与廖仲恺、戴季陶共同主持中央秘书处日常工作；组织中共广东区委，参与选派优秀党员干部到国民党各机关工作。
C16,25,谭平山,1925年1月,上海虹口,出席中共四大，当选为新的中央执行委员之一。
C16,26,谭平山,1926年11月,莫斯科,参与共产国际执委会第七次扩大会议。
C16,27,谭平山,1927年4月,湖北武昌,于中共五大上被选为中央委员、中央政治局委员，被认为中央农民部部长，与毛泽东等9人组成中央农民运动委员会；在国民党中央二届三中全会上，被选为中央执行委员会常委月、政治委员会委员、人农政部部长。
C16,28,谭平山,1927年8月,江西南昌,与周恩来等人组织发起南昌起义，任前敌委员会成员、中国国民党革命委员会主席团主席。
C16,29,谭平山,1933年,暹罗、印度,参加“闽变”，失败后赴暹罗、印度。
C16,30,谭平山,1937年,武汉,抗战爆发后，到武汉投入全民族抗日救亡运动。
C16,31,谭平山,1945年10月,重庆,发起组织“三民主义同志联合会”。
C16,32,谭平山,1947年11月,香港,出席国民党民主派第一次代表大会，决定成立“中国国民党革命委员会”。
C16,33,谭平山,1949年9月,北京,参加筹备并出席“中国人民政治协商会议第一届全体会议”，当选为政协第一届全国委员会委员、中央人民政府委员会委员。
