unit_id,sort,name,time,place,details
C18,1,王鸣球,1907年,北京,考入京师译学馆戊级德文班。
C18,2,王鸣球,1911年,济南,毕业后任《大东日报》编辑。
C18,3,王鸣球,1912年,济南,担任《齐鲁民报》编辑。
C18,4,王鸣球,1913年,相州,返乡成立相州国民学校，自任校长兼教员。
C18,5,王鸣球,1916年,济南,任济南法政专门学校校监；期间参与创办王乐平组织的《民治报》、齐鲁书社等进步刊物的活动。
C18,6,王鸣球,7611,济南,协助王尽美等成立“励新学会”，参与创办出版《励新》半月刊。
C18,7,王鸣球,1921年春,济南,秘密组织“济南共产主义小组”[1]。
C18,8,王鸣球,7792,济南,与王尽美在《大东日报》副刊上创办了《济南劳动周刊》，并担任主编。
C18,9,王鸣球,7915,济南,与王尽美、邓恩铭决定发起成立“济南马克思学说研究会”。
C18,10,王鸣球,1922年秋,青州,受党组织派遣到益都的省立第十中学任教。
C18,11,王鸣球,8310,济南,于第八届全国教育联合会上，与王用章、贾乃甫等提出《实行劳动教育建议案》。
C18,12,王鸣球,8614,济南,担任《晨钟报》主编，以其作为公开发行的党的机关报。
C18,13,王鸣球,1924年,广州,加入国民党，参与选派青年党员到黄埔受训。
C18,14,王鸣球,9164,济南,中共山东地方执行委员会成立，担任委员。
C18,15,王鸣球,9253,济南,组织筹备济南各界人民声援沪案大会，负责起草大会宣言、通电，并于大会上发言。
C18,16,王鸣球,9437,相州,因邓恩铭被捕后革命形势恶化，返乡从事农民运动。
C18,17,王鸣球,1928年末,山东,已同党组织失去联系，隐居故乡务农从教。
C18,18,王鸣球,1949年10月后,山东,当选山东省各界人民代表会议代表、山东省政协委员、山东省土地改革委员会委员，并就职于省政协驻会。
