unit_id,sort,姓名,时间,地点,描述
C1,1,包惠僧,1919年,北京,考入北京大学国文系旁听。
C1,2,包惠僧,1919年5月-7月,北京,在《汉口新闻报》、《大汉报》和《汉口中西报》上报道五四运动的消息，积极参加和支持五四运动。
C1,3,包惠僧,1920年11月,湖北武汉,于支部第一次会议受刘伯垂等人推举，出任中国共产党武汉临时支部书记；同月，武汉社会主义青年团成立，兼任武昌青年团书记。
C1,4,包惠僧,1921年1月,上海,担任共产党教育委员会主任，负责选派优秀青年赴莫斯科留学事务。
C1,5,包惠僧,1921年5月,广州,开展广州共产主义小组的系列活动。
C1,6,包惠僧,1921年7月,上海,作为代表之一参加中共一大，会上宣告中国共产党成立。
C1,7,包惠僧,1921年9月-10月,武汉,任中共武汉区执行委员会主任，重点组织发动工人运动。
C1,8,包惠僧,1921年12月,武汉,与郑凯卿、施洋直接领导汉口租界人力车夫同盟罢工并获胜。
C1,9,包惠僧,1922年1月,武汉,成立“江岸京汉铁路工人俱乐部”和徐家棚粤汉铁路工人俱乐部。
C1,10,包惠僧,1923年2月,郑州,出席京汉铁路总工会筹备会成立大会。
C1,11,包惠僧,1923年 ,北京,中共三大后，出任北方区委委员兼秘书长，参与领导京汉铁路工人大罢工。
C1,12,包惠僧,1925年,上海,参加中执会扩大会议。
C1,13,包惠僧,1925年2月,广州,于黄埔军校担任政治部主任，负责政治工作；后相继担任政治训练班主任、黄埔军校教导师党代表兼政治部主任、武汉新闻检查委员会主席、武汉中央军事政治学校筹备主任等职位。
C1,14,包惠僧,1926年8月,上海,准备赴莫斯科学习但未果。
C1,15,包惠僧,1926年10月,武汉,至武汉行营与邓演达会合，筹备武汉中央军事政治学校。
C1,16,包惠僧,1927年,南昌,受周恩来指示到南昌接手江西军委的工作，不巧患病故到上海暂住。
C1,17,包惠僧,1928年,上海,脱离中国共产党，任职于国民党。
C1,18,包惠僧,1931年,武汉,至国民政府武汉行营任幕僚，后升任陆海空军总司令部参议。
C1,19,包惠僧,1948年,澳门,逃往澳门。
C1,20,包惠僧,1949年11月,北京,返回大陆，担任内务部参事、国务院参事，以“栖梧老人“的名义发表过一些回忆录。
