unit_id,sort,姓名,时间,地点,描述
C20,1,袁振英,1915年,北京,考入北京大学文本科英文门。
C20,2,袁振英,1917年,北京,与赵太侔等人发起无政府主义团体——实社，船板刊物《实社自由录》。
C20,3,袁振英,1917年,北京,率众反抗陈独秀聘请日本高等师范学校毕业留学生出任英文教师。
C20,4,袁振英,1917年,北京,受陈独秀赏识成为《新青年》杂志撰稿人。
C20,5,袁振英,1917年7月,北京,翻译高曼《结婚与恋爱》并发表于《新青年》杂志。
C20,6,袁振英,1918年6月,北京,在《新青年》第四卷第六号“易卜生号”专号上发表了《易卜生传》。
C20,7,袁振英,1918年8月,广东,毕业于北京大学文本科英文门，返回广东，任国立广东高等师范学校教员。
C20,8,袁振英,1919年3月,菲律宾,协助当地无政府主义组织“真社”组织华侨工党，编辑机关刊物《平民日报》。
C20,9,袁振英,1920年初,香港,短期逗留，担任国民党《湘江晨报》的编辑。
C20,10,袁振英,1920年夏,日本,和广东新闻界的同行发起组织“广东游东记者团”，前往日本、朝鲜，抗议日本提出的旨在灭亡中国的“二十一条”。
C20,11,袁振英,1920年7月,上海,“游东记者团”结束访游宣传活动，回到国内，遇陈独秀，被聘至《新青年》杂志担任‘苏维埃俄罗斯研究’一部的主编工作，协助陈独秀宣传马克思主义，推动建党工作，翻译大量苏俄译著。
C20,12,袁振英,1920年8月,上海,参与上海共产党早期组织创建。
C20,13,袁振英,1920年8月,上海,作为发起人参与中国社会主义青年团创建。
C20,14,袁振英,1920年9月,上海,参与编辑工作的《新青年》第8卷第1号出版，成为上海共产主义小组的机关刊物。
C20,15,袁振英,1920年11月,上海,作为边集合主要撰稿人在上海共产主义小组机关报《共产党》月刊上发表《俄罗斯的新问题（列宁演说）》《俄罗斯的共产党》《英国共产党成立》等有关各国共产党情况介绍的文章。
C20,16,袁振英,1920年12月,广州,随陈独秀和俄共(布)远东局代表魏金斯基来到广州，新青年杂志社也随迁广州，继续担任《新青年》编辑，并充当陈独秀和魏金斯基的翻译，协助组织广州共产党。
C20,17,袁振英,1921年春,广州,加入广州共产党早期组织，受聘担任广东省立第一中学校长，和陈独秀等重组共产党。
C20,18,袁振英,1921年7月,上海,中共一大召开，为上海党小组15名成员之一。
C20,19,袁振英,1921年8月,法国,赴法国中法大学留学，后脱离党组织。
