unit_id,sort,姓名,时间,地点,描述
C24,1,朱务善,1919年,北京,入国立北京大学法预科。
C24,2,朱务善,1919年,北京,五四运动后，当选北京大学学生干事会主席，后担任北京学生联合会主席。
C24,3,朱务善,1920年,北京,参加北京大学平民教育讲演团，后接任邓中夏总务干事一职。
C24,4,朱务善,1920年,北京,与邓中夏、罗章龙、何孟雄等人在北京发起成立北京大学“马克思学说研究会”。
C24,5,朱务善,1920年,北京,成为为北京共产党早期组织成员。
C24,6,朱务善,1920年,北京,参与组建北京社会主义青年团。
C24,7,朱务善,1921年,北京,加入中国共产党。
C24,8,朱务善,1922年,北京,升入国立北京大学本科经济学系。
C24,9,朱务善,1922年,北京,由朱务善领头，偕同何孟雄、罗章龙等人联名发起召开了“苏俄共和纪念日讲演大会”。
C24,10,朱务善,1922年,北京,参与组织“挽蔡驱彭”运动。
C24,11,朱务善,1923年,湖北武汉,作为北京大学学生代表，同北京女高师学生、北京学生联合会代表缪伯英等人组成“北京学生代表团”，于2月初南下武汉，报告北京学生驱彭情形。
C24,12,朱务善,1923年,湖北武汉,推动成立了以陈潭秋等5人为委员的“湖北全省民权运动大同盟”，通电援助北京学生。
C24,13,朱务善,1923年,湖北武汉,同缪伯英以北京学生代表的名义声援”二七惨案“中的京汉铁路工人。
C24,14,朱务善,1924年,北京,当选为中共北方区委委员，兼任北京《民报》中文版编辑。
C24,15,朱务善,1924年,广东广州,以北京学生代表身份赴广东促进北伐。
C24,16,朱务善,1924年,北京,以共产党员身份加入国民党，任国民党北京执行部宣传部指导。
C24,17,朱务善,1925年,北京,任国民会议中共代表团书记，并作为国民会议促进会全国代表大会主要筹备人员之一。
C24,18,朱务善,1925年,北京,与北京女子师范大学石道睿结婚。
C24,19,朱务善,1925年,苏联莫斯科,受中共中央委派前往苏联莫斯科中山大学学习，为中山大学旅莫支部负责人之一。
C24,20,朱务善,1926年,苏联莫斯科,转为苏共党员。
C24,21,朱务善,1937年,苏联乌赫塔城,苏共肃反扩大化期间，朱务善受“基洛夫案件”牵连，遭判刑并被流放乌赫塔城5年。
C24,22,朱务善,1942年,苏联乌赫塔城,刑满后留在当地从事医务工作。
C24,23,朱务善,1951年,苏联乌赫塔城,再次因”基洛夫案件“被判刑3年。
C24,24,朱务善,1954年,苏联莫斯科,昭雪，无罪释放，恢复名誉并赔偿损失，返回莫斯科。
C24,25,朱务善,1955年,苏联莫斯科,重新加入苏共，为预备党员。
C24,26,朱务善,1955年,北京,回国，中共中央恢复并承认他从1921年加入中共党籍，并在中国科学院先后任中国科学院任编译出版委员会副主任、科学出版社副社长等职。
C24,27,朱务善,1971年,北京,文革期间受到冲击，含冤因病去世。
