unit_id,sort,姓名,时间,地点,描述
C4,1,陈公博,1917年,北京,考入北京大学本科哲学系。
C4,2,陈公博,1919年,北京,参与五四运动的相关活动。
C4,3,陈公博,1920年3月,上海,与谭平山、谭植棠创办《政衡》杂志。
C4,4,陈公博,1920年夏,广东广州,毕业后返回广州宣传新文化，先后任教于广东法政专门学校、广东高等师范学校；仿《每周评论》并为报纸取名《广东群报》，参与其他进步周刊的出版与发行。
C4,5,陈公博,1920年末,广东广州,担任广东省教育委员出版科科长，共同组织“社会主义青年团”。
C4,6,陈公博,1921年3月,广东广州,发起成立“广州共产主义小组”[1]，负责组织工作。
C4,7,陈公博,1921年7月,上海,作为广东代表正式出席中共一大。
C4,8,陈公博,1922年,广东广州,公然发文支持陈炯明叛乱，拒绝前往上海对党组织解释；在广州支部会议宣布不履行党员义务，脱离共产党。
C4,9,陈公博,1922年11月,美国,前往美国留学。
C4,10,陈公博,1926年,广东广州,担任国民党中央党部书记长和中央执行委员、工人部长等职。
C4,11,陈公博,1938年12月,河内,追随汪精卫投敌卖国，参与汉奸活动，成为汪伪集团的二号汉奸；曾任汪伪政府立法院院长、伪国民政府代主席等职。
C4,12,陈公博,1945年8月,日本,日本无条件投降，宣布解散南京国民政府，秘密逃亡日本。
C4,13,陈公博,1945年10月,南京,被强行引渡回中国，关押在老虎桥监狱。
C4,14,陈公博,1946年4月,江苏苏州,判处死刑，褫夺公权终身。
C4,15,陈公博,1946年6月,苏州,受处决。
