unit_id,sort,name,time,place,details
C6,1,范鸿劼,1918年,北京,入国立北京大学预科。
C6,2,范鸿劼,1919年,北京,作为发起人之一，组织北大学生代表召开紧急会议，带领英文系同学参加北京各校学生代表大会，发起组织五四运动。
C6,3,范鸿劼,1919年,北京,任北京大学学生干事会总务股负责人。
C6,4,范鸿劼,1920年,北京,升入国立北京大学本科化学系。
C6,5,范鸿劼,1920年,北京,时任北大学生会评议部总务委员，以北京大学学生会名义发出“万急通告”，支持天津学生反对日本帝国主义游行示威，决定以罢课、外出讲演等声援天津被捕学生遭到反动军警驱赶殴打，当场被捕。
C6,6,范鸿劼,1920年,北京,与邓中夏、罗章龙等人，在北京大学秘密成立发起成立北京大学马克思学说研究会。
C6,7,范鸿劼,1920年,北京,参与成立北京共产党早期组织——北京共产党小组。
C6,8,范鸿劼,1920年,北京,与邓中夏、罗章龙等到长辛店筹办劳动补习学校，先后到该校讲课。
C6,9,范鸿劼,1921年,北京,与邓中夏等在长辛店召开纪念五一节大会，组织成立长辛店工人俱乐部，为中共领导下最早的工会组织。
C6,10,范鸿劼,1921年,北京,与邓中夏等人联合签署发布《北京大学发起马克思学说研究会启事》。
C6,11,范鸿劼,1921年,北京,研究会建立起图书室后，起名为“亢慕义斋”，范鸿劼担任经理。
C6,12,范鸿劼,1922年,北京,与李大钊、高君宇等共产党人联合蔡元培、刘复、陶孟和等各界人士，发起组织了“非宗教同盟”，与李大钊、邓中夏、黄日葵等被推选为大同盟干事。
C6,13,范鸿劼,1922年,北京,任社会主义青年团北京地委执行委员、团地委书记。
C6,14,范鸿劼,1922年,北京,任中共北京地方委员会委员长。
C6,15,范鸿劼,1922年,北京,与邓中夏、高君宇等发起成立“民权运动大同盟”，并决定发行《民权周刊》，任同盟宣传股主任。
C6,16,范鸿劼,1922年,北京,民权运动大同盟发起取消治安警察法运动，开展了“驱彭(教育总长彭允彝)”斗争等。
C6,17,范鸿劼,1923年,北京,改入国立北京大学英文系。
C6,18,范鸿劼,1923年,北京,任北京区委兼北京地委委员、委员长。
C6,19,范鸿劼,1924年,北京,遵照中国共产党的决议，范鸿劼以个人名义加入国民党，在国民党北京特别市党部任职从事国民党老党员的重新登记和新党员发展的工作，执行孙中山“联俄、联共、扶助农工”三大政策。
C6,20,范鸿劼,1926年,北京,与李大钊组织请愿团反对军阀卖国行为，遭遇军警袭击，为三一八惨案。
C6,21,范鸿劼,1926年,北京,为保存革命力量，李大钊、范鸿劼把国共两党在北方的领导机关迁入东交民巷苏联大使馆旁边的旧俄兵营内，秘密领导两党在北方的工作。
C6,22,范鸿劼,1927年,北京,被奉系军阀张作霖不顾国际公法和国际管理，悍然逮捕。
C6,23,范鸿劼,1927年,北京,4月28日，英勇就义。
