unit_id,sort,姓名,时间,地点,描述
C7,1,高君宇,1915年,北京,高君宇参加反“二十一条”斗争，捐款翻印“二十一条”全文广为散发，组织游行和街头演讲，声援蔡锷等人护国反袁斗争。
C7,2,高君宇,1916年7月,北京,考入国立北京大学理预科英文甲班就读。
C7,3,高君宇,1918年1月,北京,加入蔡元培组织的进德会。
C7,4,高君宇,1918年5月,北京,与邓中夏、黄日葵、罗章龙、张国焘、许德珩等为首的爱国学生，组织并发动了包总统府请愿行动，要求废除北洋政府签订的《中日共同防敌军事协定》，成为近代中国学生运动史上第一次公开的游行请愿活动。
C7,5,高君宇,1918年10月,北京,作为第一批会员加入新闻学研究会，投入到新文化运动中。
C7,6,高君宇,1919年,北京,与学生救国会部分成员成立“国民杂志社”，创办了《国民》杂志《国民》杂志，。
C7,7,高君宇,1919年,北京,国立北京大学理预科毕业，同年升入国立北京大学地质学系。
C7,8,高君宇,1919年3月,北京,在李大钊的指导下，与邓中夏等组织了北京大学“平民教育讲演团”，。
C7,9,高君宇,1919年5月,北京,参与了组织游行队伍以及火烧赵家楼的行动，随后参与组织北京各校学生总罢课，并成立了“北京学生干事会”，高君宇是该会的主要干事之一。
C7,10,高君宇,1920年3月,北京,在李大钊的指导下，和邓中夏、张国焘、罗章龙等秘密发起并组织了“马克思学说研究会”，系统学习和研究了马克思主义，这是我国最早研究和宣传马克思主义的团体之一。
C7,11,高君宇,1920年4月,北京,跟随李大钊多次参与了维经斯基与北大进步学生的座谈会、讨论会。
C7,12,高君宇,1920年10月,北京,和李大钊、刘仁静、邓中夏、张国焘等人发起组织了“北京共产主义小组”。
C7,13,高君宇,1920年11月,北京,11月，在李大钊的领导下，高君宇与邓中夏、缪伯英、罗章龙等在北大成立了北京社会主义青年团，当选为书记。
C7,14,高君宇,1921年3月,北京,在北京社会主义青年团的第四次会议上，当选为执行委员，负责组织工作。
C7,15,高君宇,1921年5月,山西,受陈独秀委托，在山西组织成立“太原社会主义青年团”，创办了晋华书社，经销《共产党宣言》《资本论入门》和《新青年》等大批进步书刊。
C7,16,高君宇,1922年,广东广州,出席中国社会主义青年团第一次代表大会，当选为团中央委员。
C7,17,高君宇,1922年1月,莫斯科,“远东各国共产党和民族革命团体第一次代表大会”召开，高君宇以中共代表身份，同张国焘、瞿秋白、王尽美等出席。
C7,18,高君宇,1922年,上海,同李大钊、邓中夏、范鸿劼、张国焘等联合各界人士，发起组织了“非宗教同盟”，对帝国主义利用宗教进行侵略的罪恶行径予以沉重的打击。
C7,19,高君宇,1922年5月,北京,受李大钊的指派，和邓中夏深入到以长辛店为中心的京汉铁路沿线活动，领导了北方早期工人运动。
C7,20,高君宇,1922年7月,上海,出席中共二大，与陈独秀、邓中夏、张国焘、蔡和森5人当选为中央执行委员会委员。
C7,21,高君宇,1922年8月,浙江杭州,出席了党中央在杭州召开的特别会议，同意共产国际要中共党员以个人身份加入国民党、建立民主联合战线的主张担任《向导》编辑。
C7,22,高君宇,1922年10月,北京,《向导》编辑部迁往北京后，负责《向导》编辑之余，还兼任中共北方区党委机关刊物《政治生活》和《北京学生会周刊》的编辑。
C7,23,高君宇,1923年2月,北京,是京汉铁路工人大罢工运动的领导人之一，组织领导长辛店工人进行了不屈不挠斗争。
C7,24,高君宇,1923年6月,广东广州,出席中共“三大”，任中央教育委员会委员。
C7,25,高君宇,1924年1月,广东广州,出席国民党一大，和李大钊等共产党人并肩战斗，挫败了国民党右派反对共产党“跨党”的阴谋重新解释了“三民主义”，制定了“联俄、联共、扶助农工”三大政策，国共合作的革命统一战线正式形成。
C7,26,高君宇,1924年12月,北京,随孙中山北上前往北京进行宣传活动。
C7,27,高君宇,1925年1月,上海,出席中共四大。
C7,28,高君宇,1925年3月,北京,国民会议促成会第一次全国代表大会召开，被推选为主席团成员。
C7,29,高君宇,1925年3月,北京,3月5日，因积劳成疾逝世，时年29岁。
