unit_id,sort,姓名,时间,地点,描述
C8,1,何孟雄,1916年,湖南,就读于湖南工业专门学校。
C8,2,何孟雄,1916年,湖南,领导湖南省高等工业学校学生会的工作，积极参与毛泽东领导的长沙学生联合会组织的爱国活动，。
C8,3,何孟雄,1918年,北京,杨昌济前往北大任教后，与毛泽东、张昆弟同赴北京，参与留法勤工俭学筹备。
C8,4,何孟雄,1919年,北京,随北京大学同学前往天安门游行集会，与匡互生等人冲入卖国贼曹汝霖的住宅。
C8,5,何孟雄,1919年,北京,1919年底，受无政府主义的影响，参加生活团体曦园（北京工读互助团）这是一个自愿结。
C8,6,何孟雄,1920年3月,北京,1920年3月，在李大钊、邓中夏、缪伯英的影响下，转向马克思主义，与邓中夏等19名同学，发起成立了“北京大学马克思学说研究会”。
C8,7,何孟雄,1920年11月,北京,在李大钊的指导下，北京社会主义青年团于北京大学成立，何孟雄为最早一批团员。
C8,8,何孟雄,1920年12月,北京,发表长篇论文《劳工运动究竟怎样下手》，对中国劳工运动的特点和规律进行较为全面的探讨。
C8,9,何孟雄,1921年3月,北京,在北京社会主义青年团会议上当选为出席少共国际第二次代表大会代表。
C8,10,何孟雄,1921年,北京,参与组织北方劳动组合书记部，为北方分部负责人之一，并任《工人周刊》编委常委年底，任中共北方区委委员、北京地方执行委员会书记。
C8,11,何孟雄,1921年,北京,于国立北京大学哲学系二年级旁听。
C8,12,何孟雄,1922年,北京,任了北京民权大同盟的交际股主任，负责与京内外各团体的联系，。
C8,13,何孟雄,1923年,北京,于国立北京大学政治系旁听。
C8,14,何孟雄,1923年,北京,负责组织领导京汉铁路北段总罢工。
C8,15,何孟雄,1923年,广州,出席中共三大，主张与国民党建立民主革命的统一战线。
C8,16,何孟雄,1924年1月,北京,1924年1月，国共合作后，参与北京国民党执行部的工作。
C8,17,何孟雄,1924年3月,北京,中共北京区委设国民运动委员会，由何孟雄兼任秘书，领导统一战线工作。
C8,18,何孟雄,1925年,河北张家口,组织创立京绥铁路总工会，培养发展了我党的第一个工人党员。
C8,19,何孟雄,1925年5月,北京,受全国铁总派遣赴京绥铁路领导成立总工会，组织了京绥铁路工人代表大会，任工会委员会秘书长，工会成为华北群众运动的领导中枢。
C8,20,何孟雄,1925年10月,河北张家口,10月，受李大钊委派，与陈为人、王仲一等组织成立中共张家口地委。
C8,21,何孟雄,1925年,河北唐山,任中共唐山地委书记，负责加强京津唐地区的统战工作，组织发动了开滦煤矿万人大罢工。
C8,22,何孟雄,1926年,湖北汉口,1926年底任中共湖北区委兼汉口市委组织部长。
C8,23,何孟雄,1927年,江苏,1927年底，任中共江苏省委农民部秘书，中共淮安特委书记，协助省委制定农民暴动计划，并赴淮安传达“八七会议”精神。
C8,24,何孟雄,1928年4月,江苏,任中共江苏省委常委，针对年初淮安横沟寺农民暴动失败的情况，起草并主持下达了《关于淮安北乡农民暴动的批评和决议》等一系列文件，在实际工作中认真纠正“左”倾盲动错误，使江苏农民运动走上健康发展的道路。
C8,25,何孟雄,1928年10月,江苏,在省委常委中分工负责军委和农委工作，兼任农委书记。
C8,26,何孟雄,1929年11月,江苏,在新组建的中共江苏省委第二次代表大会上，当选为省委候补委员。
C8,27,何孟雄,1930年9月,北京,因反对立三路线被撤职并停止工作。
C8,28,何孟雄,1930年12月,北京,经党中央决议予以平反，但随即又遭到王明“左”倾宗派主义的排斥打击。
C8,29,何孟雄,1931年,上海,在中共六届四中全会上，与林育南等联名发表《告同志书》，旗帜鲜明地与王明“左”倾错误进行了坚决的斗争。
C8,30,何孟雄,1931年1月,上海,在上海被捕，。
C8,31,何孟雄,1931年,上海,2月7日在上海英勇就义，时年33岁。
