unit_id,sort,姓名,时间,地点,描述
C9,1,李大钊,1913年,日本东京,于东京早稻田大学留学。
C9,2,李大钊,1916年,北京,回国后，投身新文化运动。
C9,3,李大钊,1917年,北京,连续发表《法俄革命之比较观》《庶民的胜利》《布尔什维主义的胜利》《新纪元》等文章和演讲。
C9,4,李大钊,1919年,北京,投入并领导了五四运动。
C9,5,李大钊,1919年,北京,在《新青年》发表《我的马克思主义观》，系统介绍马克思主义理论。
C9,6,李大钊,1920年,北京,亲自护送陈独秀出京，并与陈独秀商讨了在中国建立共产党组织的问题。
C9,7,李大钊,1920年,北京,领导成立了北京大学马克思学说研究会。
C9,8,李大钊,1920年,北京,领导北京共产党组织成立，当时取名为“共产党小组”。
C9,9,李大钊,1920年,北京,领导建立北京社会主义青年团。
C9,10,李大钊,1921年,北京,撰文号召全国的共产主义者“急急组织一个团体”，这个团体是“平民的劳动家的政党”，要担负起“中国彻底的大改革”的责任。
C9,11,李大钊,1921年,北京,中国共产党成立后，李大钊代表中央指导北方的工作，先后发动了开滦大罢工、京汉铁路大罢工等著名斗争。
C9,12,李大钊,1921年,北京,听取共产国际代表马林的国共合作提议。
C9,13,李大钊,1921年,浙江杭州,西湖特别会议上，新当选为中国共产党第二届中央委员，积极支持国共合作。
C9,14,李大钊,1922年,上海,与孙中山讨论国共合作、建立革命统一战线的主张。
C9,15,李大钊,1924年,广东广州,以跨党身份出席国民党一大，并当选为中国国民党中央执行委员会委员。
C9,16,李大钊,1925年,北京,五卅运动爆发后，与赵世炎等人在北京组织5万余人的示威。
C9,17,李大钊,1926年,北京,在依然在苏联驻北京东交民巷的大使馆军营内坚持工作。
C9,18,李大钊,1927年,北京,被张作霖的奉系军阀抓捕。
C9,19,李大钊,1927年,北京,英勇就义。
