unit_id,sort,name,time,place,details
C13,1,罗章龙,1915年,湖南,响应毛泽东发起组织的“二十八画生征友启事”。
C13,2,罗章龙,1918年,北京,入国立北京大学文预科一年级德文班。
C13,3,罗章龙,1918年4月,北京,与毛泽东、蔡和森等发起组织新民学会。
C13,4,罗章龙,1919年2月,北京,毛泽东组织驱张运动，罗章龙留京组织学会工作，与之南北呼应。
C13,5,罗章龙,1919年,北京,以五四运动中的核心小组部分成员为基础，成立了曦园（北京工读互助团），后来逐渐转向马克思主义的研究。
C13,6,罗章龙,1920年,北京,毕业于国立北京大学文预科，入国立北京大学第一院本科文学院哲学系一年级。
C13,7,罗章龙,1920年3月,北京,参与组织北京大学马克思学说研究会，学会设有书记二人，由王有德和罗章龙担任，罗章龙负责学会的对外联络。
C13,8,罗章龙,1920年10月,北京,参与发起成立了北京的共产党早期组织。
C13,9,罗章龙,1920年11月,北京,中国共产党北京支部成立，罗章龙与李大钊、张国焘为支部三名负责人，罗章龙负责宣传；加入北京大学社会主义青年团。
C13,10,罗章龙,1921年,北京,任中国共产党北京大学第三届党支部书记。
C13,11,罗章龙,1922年7月,北京,任中国劳动组合书记部北方书记部主任，中共北方区委委员。
C13,12,罗章龙,1923年,河南郑州,1923年参与组织京汉铁路总工会，是京汉铁路工人大罢工的主要领导人之一。
C13,13,罗章龙,1923年6月,广东广州,出席中共“三大”，当选为中央委员和中央局委员，。
C13,14,罗章龙,1924年,北京,毕业于国立北京大学文本科哲学系。
C13,15,罗章龙,1924年,莫斯科,出席共产国际五大，在第四次国际运输工会代表大会，当选为该会中国书记。
C13,16,罗章龙,1925年1月,上海,参加中国共产党四大，当选为中央候补执行委员、中央委员、中央候补委员。
C13,17,罗章龙,1927年,武汉,参加中国共产党五大，当选为中央候补执行委员、中央委员、中央候补委员。
C13,18,罗章龙,1928年,莫斯科,参加中国共产党六大，当选为中央候补执行委员、中央委员、中央候补委员。
C13,19,罗章龙,1927年,湖南,任中共湖南省行动委员会执行委员，配合毛泽东同志领导的湖南秋收起义。
C13,20,罗章龙,1931年,上海,六届四中全会上，对王明在政治及组织上的错误做法十分不满，会后愤而组织成立第二个中共中央委员会，。
C13,21,罗章龙,1931年1月,上海,被开除出党。
