unit_id,sort,name,time,place,details
C14,1,毛泽东,1914-1918年,湖南,在湖南第一师范学校求学。
C14,2,毛泽东,1918年,湖南,毕业前夕和蔡和森等组织革命团体新民学会。
C14,3,毛泽东,1918-1919年,北京,在北京大学图书馆工作。
C14,4,毛泽东,1919年,北京,五四运动前后接触和接受马克思主义。
C14,5,毛泽东,1920年,湖南,创建湖南的共产主义组织。
C14,6,毛泽东,1921年,上海,出席中国共产党建党的第一次全国代表大会，后任中共湘区委员会书记，领导长沙、安源等地工人运动。
C14,7,毛泽东,1923年,广州,国共合作后，在国民党第一、第二次全国代表大会上都当选为候补中央执行委员，曾在广州任国民党中央宣传部代理部长，主编《政治周报》，主办第六届农民运动讲习所。
C14,8,毛泽东,10075,湖北汉口,参与1927年8月中共中央紧急会议，提出“政权是由枪杆子中取得的”，即以革命武装夺取政权的思想，并被选为中央政治局候补委员。
C14,9,毛泽东,1927年,湘赣边界,领导秋收起义。
C14,10,毛泽东,1927年,井冈山,率起义部队上井冈山，发动土地革命，创立第一个农村革命根据地。
