unit_id,sort,name,time,place,details
C3,1,陈独秀,1897年,浙江杭州,入杭州中西求是书院学习，接受和阅读《时务报》，与维新人士广泛交往。
C3,2,陈独秀,1901年,日本,因进行反清宣传活动，受清政府通缉，逃亡日本，入东京高等师范学校学习。
C3,3,陈独秀,1902年,日本,在日本东京高等师范学校学习期间，深受西方现代科学和民主思想的影响。
C3,4,陈独秀,1904年,安徽芜湖,在芜湖创办《安徽俗话报》，宣传资产阶级民主革命恩想。
C3,5,陈独秀,1905年,安徽芜湖,组织反清私密革命组织岳王会，任总会长。
C3,6,陈独秀,1911年,安徽芜湖,辛亥革命后不久，任安徽省都督府秘书长。
C3,7,陈独秀,1913年,安徽芜湖,参加讨代袁世凯的二次革命，失败后被捕入狱。
C3,8,陈独秀,1915年,上海,在上海创办《青年杂志》 (后改名为《新青年》)。
C3,9,陈独秀,1917年,北京,受聘为北京大学文科学长，《新青年》编辑部随之迁到北京。
C3,10,陈独秀,1918年,北京,与李大钊创办《每周评论》，宣传马克思主义。
C3,11,陈独秀,1920年,上海,1920年，在上海建立中国共产党发起组，进行建党活动。
C3,12,陈独秀,1920年2月,北京,为躲避反动军阀政府的迫害，陈独秀从北京秘密迁移上海。
C3,13,陈独秀,1920年5月,上海,陈独秀在上海发起成立马克思主义研究会。
C3,14,陈独秀,1920年4月,上海,4月中旬，他联合七个工界团体筹备召开世界劳动节纪念大会，并在筹备会上发表《劳工要旨》演讲他受到工界团体的尊敬和拥戴，被推选为筹备会顾问。
C3,15,陈独秀,1920年6月,上海,同年6月，陈独秀同李汉俊、俞秀松等人开会商议，决定成立党组织，起草了党的纲领草案十条。
C3,16,陈独秀,1920年8月,上海,1920年8月，上海共产党早期组织在法租界老渔阳里2号新青年编辑部正式成立，取名“中国共产党”这是中国的第一个共产党早期组织，其成员主要是马克思主义研究会的骨干，陈独秀为书记。
C3,17,陈独秀,1920年11月,上海,11月，陈独秀同共产党早期组织成员拟定《中国共产党宣言》，。
C3,18,陈独秀,1921年,上海,中共一大之后，陈独秀辞去广东省教育委员会委员长一职，到上海主持中共中央的工作。
C3,19,陈独秀,1921年7月,上海,1921年7月，在上海举行的中国共产党第一次全国代表大会上，被选为中央局书记。
C3,20,陈独秀,1922年7月,上海,出席中国共产党第二次全国代表大会，陈独秀被选为中央执行委员会委员长，大会正式决定加入共产国际，成为共产国际的一个支部。
C3,21,陈独秀,1923年6月,广东广州,1923年6月，在中共三大中，任中央执委会委员长，陈独秀针对性地提出了建立国民革命联合战线的思想。
C3,22,陈独秀,1925年,上海,1925年领导五卅运动。
C3,23,陈独秀,1927年,武汉汉口,1927年，在中共“八七”会议上被撤消总书记职务。
C3,24,陈独秀,1931年5月,上海,1931年5月，成立统一的“中国共产党左派反对派”选陈独秀为书记。
C3,25,陈独秀,1932年10月,上海,1932年10月，陈独秀在上海被国民党当局逮捕，最后被以“危害民国罪”判处徒刑13年。
C3,26,陈独秀,1942年5月,四川江津,1942年5月，于四川江津病逝。
