unit_id,sort,name,time,place,details
C5,1,邓中夏,1917年,湖南,就读于湖南高等师范学校。
C5,2,邓中夏,1917年,北京,就读于国立北京大学国文门一年级。
C5,3,邓中夏,1918年5月,北京,带领北京大学、高等师范学校等校学生2000多人到新华门总统府前请愿.。
C5,4,邓中夏,1918年10月,北京,邓中夏协助李大钊将学生救国会改组为进步社团国民杂志社，。
C5,5,邓中夏,1919年,北京,进入国立北京大学哲学系。
C5,6,邓中夏,1919年3月,北京,邓中夏参与发起组织北京大学平民教育讲演团，邓中夏被选为总务干事(后任编辑干事)之一。
C5,7,邓中夏,1920年3月,北京,在李大钊的指导下，与高君宇等北大学生秘密组织了马克思学说研究会。
C5,8,邓中夏,1920年6月,北京,毕业于国立北京大学国文系。
C5,9,邓中夏,1920年10月,北京,发起成立了北京的共产党早期组织，为中国共产党最早的党员之一。
C5,10,邓中夏,1921年初,北京,5月中旬，邓中夏作为北京学联代表前往湖南，和毛泽东一道组织湖南学联。
C5,11,邓中夏,1921年7月,北京,7月，参与李大钊成立的少年中国学会，邓中夏被选为庶务主任。
C5,12,邓中夏,1921年11月,北京,中国劳动组合书记部北方分部成立，邓中夏是负责人之一。
C5,13,邓中夏,1922年7月,北京,任中国共产党北京大学第二届党支部书记，并出席党的二大，参与二大宣言和党的民主革命纲领的制定，被选为中央执行委员。
C5,14,邓中夏,1922年8月,北京,中国劳动组合书记部由上海迁到北京，改称总部，由邓中夏担任主任，负责领导全国工人运动。
C5,15,邓中夏,1923年,河南郑州,参与发动和领导京汉铁路工人二七大罢工，并在全国发动了劳动立法运动。
C5,16,邓中夏,1923年4月,上海,参加创办国民党和共产党合办的上海大学，任总务长。
C5,17,邓中夏,1925年4月,香港,筹备并组织全国第二次劳动大会，成立中华全国总工会，任秘书长兼宣传部长，组织和领导省港大罢工。
C5,18,邓中夏,1927年,湖北汉口,参加“八七”会议，被选为中央临时政治局候补委员。
C5,19,邓中夏,1928年2月,香港,任广东省委代理书记。
C5,20,邓中夏,1928年3月,广东广州,被选为赤色职工国际中央执行局委员。
C5,21,邓中夏,1928年6月,莫斯科,筹办中共六大并参会，当选为候补中央委员。
C5,22,邓中夏,1930年9月,江苏,在苏区领导红二军团和湘鄂西苏区革命根据地工作。
C5,23,邓中夏,1931年1月,北京,王明篡夺中共中央领导权，被撤掉全部职务。
C5,24,邓中夏,1932年,上海,任全国赤色互济总会主任兼党团书记，从事国民党统治区的地下工作。
C5,25,邓中夏,1933年9月,江苏南京,1933年9月21日，在南京牺牲，年仅39岁。
